step,junction_id,active_vehicles,avg_speed_kmh,avg_waiting_time_s,max_waiting_time_s,queue_length_m,halting_vehicles,previous_queue_m,queue_delta,signal_phase,time_of_day_s,future_queue_5min_m,will_congest_5min,run_id
85.0,J3,33,26.96,5.39,35.0,45.0,6,45.0,0.0,2,85.0,15.0,0,0
85.0,J1,33,26.96,5.39,35.0,22.5,3,22.5,0.0,2,85.0,15.0,0,0
86.0,J2,33,26.07,5.7,36.0,7.5,1,0.0,7.5,2,86.0,37.5,1,0
86.0,J3,33,26.07,5.7,36.0,45.0,6,45.0,0.0,2,86.0,15.0,0,0
86.0,J1,33,26.07,5.7,36.0,22.5,3,22.5,0.0,2,86.0,15.0,0,0
87.0,J2,32,24.88,6.22,37.0,7.5,1,7.5,0.0,2,87.0,37.5,1,0
87.0,J3,32,24.88,6.22,37.0,52.5,7,45.0,7.5,2,87.0,15.0,0,0
87.0,J1,32,24.88,6.22,37.0,22.5,3,22.5,0.0,2,87.0,15.0,0,0
88.0,J2,33,25.12,6.39,38.0,7.5,1,7.5,0.0,3,88.0,37.5,1,0
88.0,J3,33,25.12,6.39,38.0,60.0,8,45.0,15.0,3,88.0,15.0,0,0
88.0,J1,33,25.12,6.39,38.0,22.5,3,22.5,0.0,3,88.0,15.0,0,0
89.0,J2,34,25.64,6.56,39.0,7.5,1,7.5,0.0,3,89.0,37.5,1,0
89.0,J3,34,25.64,6.56,39.0,60.0,8,45.0,15.0,3,89.0,15.0,0,0
89.0,J1,34,25.64,6.56,39.0,22.5,3,22.5,0.0,3,89.0,15.0,0,0
90.0,J2,34,25.93,6.97,40.0,7.5,1,7.5,0.0,3,90.0,37.5,1,0
90.0,J3,34,25.93,6.97,40.0,75.0,10,45.0,30.0,3,90.0,15.0,0,0
90.0,J1,34,25.93,6.97,40.0,22.5,3,22.5,0.0,3,90.0,15.0,0,0
91.0,J2,34,26.94,2.56,28.0,0.0,0,7.5,-7.5,0,91.0,37.5,1,0
91.0,J3,34,26.94,2.56,28.0,52.5,7,45.0,7.5,0,91.0,15.0,0,0
91.0,J1,34,26.94,2.56,28.0,7.5,1,22.5,-15.0,0,91.0,15.0,0,0
92.0,J2,34,28.2,0.85,15.0,0.0,0,7.5,-7.5,0,92.0,37.5,1,0
92.0,J3,34,28.2,0.85,15.0,30.0,4,52.5,-22.5,0,92.0,15.0,0,0
92.0,J1,34,28.2,0.85,15.0,0.0,0,22.5,-22.5,0,92.0,15.0,0,0
93.0,J2,34,30.41,0.18,6.0,0.0,0,7.5,-7.5,0,93.0,37.5,1,0
93.0,J3,34,30.41,0.18,6.0,7.5,1,60.0,-52.5,0,93.0,15.0,0,0
93.0,J1,34,30.41,0.18,6.0,0.0,0,22.5,-22.5,0,93.0,15.0,0,0
94.0,J2,33,32.31,0.0,0.0,0.0,0,7.5,-7.5,0,94.0,37.5,1,0
94.0,J3,33,32.31,0.0,0.0,0.0,0,60.0,-60.0,0,94.0,15.0,0,0
94.0,J1,33,32.31,0.0,0.0,0.0,0,22.5,-22.5,0,94.0,15.0,0,0
95.0,J2,32,34.46,0.0,0.0,0.0,0,7.5,-7.5,0,95.0,37.5,1,0
95.0,J3,32,34.46,0.0,0.0,0.0,0,75.0,-75.0,0,95.0,15.0,0,0
95.0,J1,32,34.46,0.0,0.0,0.0,0,22.5,-22.5,0,95.0,15.0,0,0
96.0,J2,32,37.23,0.0,0.0,0.0,0,0.0,0.0,0,96.0,37.5,1,0
